datetime,max_temp,min_temp,temp,precip,humidity,wind_gust,wind_speed,wind_dir,visibility,cloud_cover
2014-01-31,44.82,37.07,40.9,0.08,84.94,35.2,16.61,171.13,12.11,65.89
2014-02-28,45.56,37.44,41.46,0.09,82.66,40.07,19.38,190.47,12.36,63.42
2014-03-31,49.62,38.6,44.05,0.07,80.7,35.6,19.11,198.15,11.78,63.99
2014-04-30,53.71,41.99,47.93,0.08,82.38,28.86,15.81,162.15,9.47,66.16
2014-05-31,57.89,46.47,52.08,0.08,80.55,27.69,14.04,165.28,10.51,72.92
2014-06-30,64.75,51.27,58.02,0.07,78.48,21.21,11.28,167.91,10.79,68.9
2014-07-31,69.13,51.74,60.39,0.04,78.95,25.56,12.8,202.12,9.98,60.27
2014-08-31,62.85,49.52,56.19,0.1,79.93,28.48,14.88,224.58,12.79,63.68
2014-09-30,62.94,50.08,56.44,0.03,84.56,19.36,10.57,159.82,8.68,71.12
2014-10-31,57.05,44.73,51.28,0.11,83.42,33.62,17.27,202.07,10.72,62.26
2014-11-30,50.18,39.69,45.54,0.05,90.1,25.81,11.6,160.64,9.79,64.97
2014-12-31,44.27,35.04,39.87,0.1,87.39,31.94,17.04,243.61,12.91,59.65
2015-01-31,43.86,34.29,38.92,0.11,83.87,39.4,20.63,231.63,11.74,62.41
2015-02-28,44.8,34.0,39.38,0.04,82.95,32.02,17.31,229.09,10.95,63.72
2015-03-31,48.27,35.64,41.99,0.08,80.55,35.01,19.6,210.15,10.28,63.41
2015-04-30,54.85,37.26,46.1,0.03,76.15,27.34,15.31,196.37,11.11,53.46
2015-05-31,54.96,41.68,48.43,0.08,75.61,33.44,18.33,210.08,11.71,64.51
2015-06-30,61.39,46.96,54.49,0.05,77.92,27.22,14.44,210.51,11.74,66.39
2015-07-31,62.97,49.77,56.3,0.1,82.67,27.95,13.67,222.15,11.4,67.55
2015-08-31,65.06,50.35,57.98,0.05,78.41,29.67,14.8,201.35,11.25,62.38
2015-09-30,61.45,45.35,53.16,0.03,80.27,21.55,11.71,226.63,11.75,63.71
2015-10-31,56.47,42.16,49.54,0.03,85.72,24.42,11.64,180.61,9.28,71.1
2015-11-30,50.54,40.65,45.5,0.2,87.02,37.12,18.68,222.31,16.63,66.78
2015-12-31,49.9,40.07,45.11,0.24,85.12,43.16,21.53,201.22,15.97,71.66
2016-01-31,43.56,36.65,40.08,0.17,87.62,33.59,16.61,190.83,15.43,75.85
2016-02-29,43.41,33.17,38.24,0.09,82.84,33.02,16.52,224.36,20.88,65.93
2016-03-31,48.31,36.79,42.36,0.04,80.92,25.96,13.59,198.68,18.59,74.84
2016-04-30,49.72,37.59,43.62,0.07,77.4,28.91,15.17,196.86,17.81,68.15
2016-05-31,57.92,44.4,51.06,0.04,78.5,27.44,15.01,135.97,14.5,70.59
2016-06-30,61.72,49.56,55.37,0.08,83.07,22.04,11.54,129.22,13.62,79.64
2016-07-31,64.89,52.29,58.64,0.08,80.35,27.03,14.07,244.31,19.76,74.03
2016-08-31,65.17,51.85,58.65,0.06,82.06,27.33,14.59,180.57,15.97,70.68
2016-09-30,63.86,52.04,57.86,0.05,81.81,29.85,15.83,212.12,16.11,71.98
2016-10-31,55.48,43.4,49.34,0.04,86.29,24.29,11.74,137.77,13.92,71.36
2016-11-30,45.18,34.78,40.07,0.05,86.09,23.8,12.71,219.26,17.77,63.82
2016-12-31,48.39,38.77,44.08,0.07,86.19,30.49,16.24,220.15,15.01,70.1
2017-01-31,44.88,35.87,40.62,0.03,85.56,26.76,14.98,227.89,17.48,70.91
2017-02-28,46.07,38.08,41.99,0.09,84.22,32.32,16.86,174.27,15.42,74.44
2017-03-31,50.77,38.23,44.58,0.06,82.15,29.18,16.9,201.02,16.59,68.34
2017-04-30,53.75,40.53,47.17,0.0,70.41,29.15,17.16,239.98,19.1,69.14
2017-05-31,61.37,46.86,53.85,0.04,76.19,28.0,14.87,151.41,12.52,66.98
2017-06-30,62.97,51.66,57.17,0.21,79.96,29.71,15.49,197.66,16.26,75.73
